gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
D:39.0698,dc,39.06976744186047,0.0,0.0,1.0,39.06976744186047,39.06976744186047,5,1,1000,39.067,39.067,39.067,39.067,nan,39.069375
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,1,1,1000,39.104,39.104,39.104,39.104,17.37091440000222,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,2,1,1000,39.124,39.124,39.124,39.124,17.37091440000222,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,3,1,1000,39.123,39.123,39.123,39.123,17.37091440000222,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,4,1,1000,39.175,39.175,39.175,39.175,17.37091440000222,nan
K1,pulse,400.0,1.0,10.0,0.1,40.0,39.37007874015748,5,1,1000,39.083,39.083,39.083,39.083,17.37091440000222,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,1,1,1000,39.132,39.132,39.132,39.132,17.380759499996202,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,2,1,1000,39.121,39.121,39.121,39.121,17.380759499996202,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,3,1,1000,39.109,39.109,39.109,39.109,17.380759499996202,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,4,1,1000,39.096,39.096,39.096,39.096,17.380759499996202,nan
K2,pulse,1000.0,0.4,10.0,0.04,40.0,39.37007874015748,5,1,1000,39.117,39.117,39.117,39.117,17.380759499996202,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,1,1,1000,39.002,39.002,39.002,39.002,17.370646999996097,nan
K3,pulse,2000.0,0.2,10.0,0.02,40.0,39.37007874015748,2,1,1000,39.088,39.088,39.088,39.088,17.370646999996097,nan
